% NYC Restaurant Review Dataset
@RELATION nyc_restaurant_review

@ATTRIBUTE count_of_food_adjectives_in_dish_name NUMERIC
@ATTRIBUTE count_of_food_ingredients_in_dish_name NUMERIC
@ATTRIBUTE count_of_food_adjectives_in_context NUMERIC
@ATTRIBUTE count_of_food_ingredients_in_context NUMERIC
@ATTRIBUTE has_price_attached {true, false}
@ATTRIBUTE has_meal_name_mentioned {true, false}
@ATTRIBUTE dish_name STRING
@ATTRIBUTE file_name STRING
@ATTRIBUTE class_label {positive, negative}

@DATA
0,0,0,0,false,false,sushi,../Set_Q/review-139.txt,positive
0,0,0,0,false,false,'aka uni',../Set_Q/review-139.txt,positive
0,0,0,0,false,false,scallop,../Set_Q/review-139.txt,positive
0,0,0,0,false,false,saba,../Set_Q/review-139.txt,positive
0,0,0,0,false,false,ikura,../Set_Q/review-139.txt,positive
0,0,0,0,false,false,'creamy orange ankimo',../Set_Q/review-139.txt,positive
0,0,0,0,false,false,'Osakastyle kappo',../Set_Q/review-139.txt,positive
0,0,0,0,false,false,shiokara,../Set_Q/review-139.txt,positive
0,0,0,0,false,true,Curedtuna,../Set_Q/review-140.txt,positive
1,0,0,0,false,false,'brinepoached sweetbreads',../Set_Q/review-140.txt,positive
0,0,0,0,false,false,'portly scallops',../Set_Q/review-140.txt,positive
0,1,0,0,false,false,'lambbelly pancetta',../Set_Q/review-140.txt,positive
0,1,0,0,false,true,'entils simmered inlamb jus',../Set_Q/review-140.txt,positive
0,0,0,0,false,true,'zucchini blossoms',../Set_Q/review-140.txt,positive
0,1,0,0,false,true,'shrimp mousse',../Set_Q/review-140.txt,positive
0,0,0,0,false,true,Japanesetempura,../Set_Q/review-140.txt,positive
0,0,0,0,false,false,'yogurt croquettes',../Set_Q/review-141.txt,positive
0,0,0,0,false,false,'tea sandwiches of paneer',../Set_Q/review-141.txt,positive
0,0,0,0,false,false,'crisp bubbled wafers',../Set_Q/review-141.txt,positive
0,0,0,0,false,false,'Keralan moilee',../Set_Q/review-141.txt,positive
0,0,0,0,false,false,'blacklentil dal',../Set_Q/review-141.txt,positive
0,0,0,0,false,false,'gol gappa',../Set_Q/review-141.txt,positive
0,1,0,0,false,false,'steak tartare',../Set_Q/review-142.txt,positive
0,1,0,1,false,false,'Pacific blue shrimp',../Set_Q/review-142.txt,positive
0,0,0,0,false,false,'Three Shells',../Set_Q/review-142.txt,positive
0,0,0,0,false,true,poachedlobster,../Set_Q/review-142.txt,positive
0,0,0,0,false,true,duckbreast,../Set_Q/review-142.txt,positive
0,0,0,0,false,false,'Barolobraised oxtail',../Set_Q/review-142.txt,positive
1,0,0,0,false,false,'fried oysters',../Set_Q/review-142.txt,positive
0,0,0,0,false,false,'Vanilla ice cream',../Set_Q/review-142.txt,positive
0,0,0,0,false,false,'milkchocolate souffl',../Set_Q/review-142.txt,positive
0,0,0,0,false,false,'chocolate marquise',../Set_Q/review-142.txt,positive
0,0,0,0,false,false,'dim sum',../Set_Q/review-143.txt,positive
0,0,0,0,true,false,'egg roll',../Set_Q/review-143.txt,positive
0,0,0,1,false,false,'snowpealeaf dumplings',../Set_Q/review-143.txt,positive
0,0,0,0,false,false,'delicate pleated har gow',../Set_Q/review-143.txt,positive
0,0,0,0,true,false,'shiu mai',../Set_Q/review-143.txt,positive
0,0,0,0,true,false,'slippery cheong fun',../Set_Q/review-143.txt,positive
0,0,0,0,true,false,'ricenoodle rolls',../Set_Q/review-143.txt,positive
0,0,0,0,false,false,'Char siu bao',../Set_Q/review-143.txt,positive
0,0,0,0,false,false,'roast pork buns',../Set_Q/review-143.txt,positive
0,0,0,0,false,false,'rye bread',../Set_Q/review-144.txt,positive
0,0,0,0,false,false,Halvah,../Set_Q/review-144.txt,positive
0,0,0,0,false,false,'smokedfish platters',../Set_Q/review-144.txt,positive
0,0,0,0,false,false,'privatestock sturgeon',../Set_Q/review-144.txt,positive
0,0,0,0,false,false,'Anne platter',../Set_Q/review-144.txt,positive
0,0,0,0,true,false,'scrambled eggs with paddlefish caviar',../Set_Q/review-144.txt,positive
0,0,0,0,false,false,'fish on a bagel',../Set_Q/review-144.txt,positive
0,0,0,0,false,false,'Salmon roe and crme frache with latkes',../Set_Q/review-144.txt,positive
0,0,0,0,false,true,'bagel chip piled up with whitefish and salmonsalads',../Set_Q/review-144.txt,positive
0,0,0,0,false,false,charcuterie,../Set_Q/review-145.txt,positive
0,0,0,0,false,false,'Blue Point oysters',../Set_Q/review-145.txt,positive
0,0,0,0,false,false,'fresh ricotta',../Set_Q/review-145.txt,positive
0,1,0,0,true,false,'crisp roast chicken',../Set_Q/review-145.txt,positive
0,0,0,0,false,false,affogato,../Set_Q/review-145.txt,positive
0,0,0,0,true,false,'housecured gravlax',../Set_Q/review-145.txt,positive
0,0,0,0,true,false,'Baked beans and toast',../Set_Q/review-145.txt,positive
0,0,0,0,true,false,'scrambled eggs',../Set_Q/review-145.txt,positive
