% NYC Restaurant Review Dataset
@RELATION nyc_restaurant_review

@ATTRIBUTE count_of_food_adjectives_in_dish_name NUMERIC
@ATTRIBUTE count_of_food_ingredients_in_dish_name NUMERIC
@ATTRIBUTE count_of_food_adjectives_in_context NUMERIC
@ATTRIBUTE count_of_food_ingredients_in_context NUMERIC
@ATTRIBUTE has_price_attached {true, false}
@ATTRIBUTE has_meal_name_mentioned {true, false}
@ATTRIBUTE dish_name STRING
@ATTRIBUTE file_name STRING
@ATTRIBUTE class_label {positive, negative}

@DATA
1,1,0,0,true,false,'crispy rock shrimp',../Set_P/review-030.txt,positive
1,0,0,0,true,false,'fried shishito peppers',../Set_P/review-030.txt,positive
0,0,0,0,true,false,'croque seora',../Set_P/review-030.txt,positive
0,0,0,1,true,false,ceviche,../Set_P/review-030.txt,positive
0,1,0,1,false,true,'mango cake',../Set_P/review-030.txt,positive
0,0,0,0,true,false,schnitzel,../Set_P/review-031.txt,positive
0,0,0,0,false,false,spaetzle,../Set_P/review-031.txt,positive
0,1,0,0,false,false,'stack of ribs',../Set_P/review-031.txt,positive
0,0,0,0,true,false,'Freekeh salad',../Set_P/review-031.txt,positive
1,0,0,0,false,false,'Cold cheese',../Set_P/review-032.txt,positive
0,0,0,0,false,false,'foie gras',../Set_P/review-032.txt,positive
0,1,0,0,true,false,'shrimp tempura',../Set_P/review-032.txt,positive
0,0,0,0,true,false,'hamachi jaws',../Set_P/review-032.txt,positive
0,0,0,0,false,false,Sashimi,../Set_P/review-032.txt,positive
0,0,0,0,false,false,sushi,../Set_P/review-032.txt,positive
0,0,0,0,false,false,'seaurchin chips',../Set_P/review-032.txt,positive
0,0,0,0,false,false,'arugula salad',../Set_P/review-033.txt,positive
0,0,0,0,false,false,fusilli,../Set_P/review-033.txt,positive
0,0,0,0,false,false,'stracciatella cheese',../Set_P/review-033.txt,positive
0,0,0,0,false,false,speck,../Set_P/review-033.txt,positive
